en;ru;de;es;fr;it;ja;ko;pt;tr;zh
BACKUP:OFF;РЕЗЕРВНОЕ КОПИРОВАНИЕ: ВЫКЛ.;BACKUP:AUS;RESPALDO: APAGADO;SAUVEGARDE : OFF;BACKUP: DISATTIVATO;バックアップ:オフ;백업:꺼짐;BACKUP: DESLIGADO;YEDEKLEME:KAPALI;备份：关闭
BACKUP:ON;РЕЗЕРВНОЕ КОПИРОВАНИЕ: ВКЛ.;BACKUP:EIN;RESPALDO: ENCENDIDO;SAUVEGARDE : ON;BACKUP:ON;バックアップ:オン;백업:켜짐;BACKUP: ATIVADO;YEDEKLEME:AÇIK;备份：开
Backup disabled;Резервное копирование отключено;Sicherung deaktiviert;Copia de seguridad deshabilitada;Sauvegarde désactivée;Backup disabilitato;バックアップが無効になっています;백업이 비활성화되었습니다.;Backup desativado;Yedekleme devre dışı;备份已禁用
Backup enabled;Резервное копирование включено;Sicherung aktiviert;Copia de seguridad habilitada;Sauvegarde activée;Backup abilitato;バックアップが有効になっています;백업 활성화됨;Backup ativado;Yedekleme etkin;已启用备份
Backup spent status for port;Статус резервного копирования для порта;Status der ausgeführten Sicherung für den Port;Estado de copia de seguridad gastada para el puerto;Statut de sauvegarde dépensée pour le port;Stato di spesa del backup per la porta;ポートのバックアップ使用済みステータス;포트의 백업 지출 상태;Status gasto de backup para porta;Bağlantı noktası için yedek harcama durumu;备份端口的消耗状态
Broken filament in the IFS tube (Head);Сломанная нить в трубке IFS (головка);Gebrochenes Filament im IFS-Rohr (Kopf);Filamento roto en el tubo IFS (Cabeza);Filament cassé dans le tube IFS (tête);Filamento rotto nel tubo IFS (testa);IFS チューブ (ヘッド) のフィラメント切れ;IFS 튜브(헤드)의 필라멘트 끊어짐;Filamento quebrado no tubo IFS (Cabeça);IFS tüpünde (Kafa) kırık filaman;IFS 管（头）灯丝断裂
CLOSE;ЗАКРЫВАТЬ;SCHLIESSEN;CERCA;FERMER;VICINO;近い;닫다;FECHAR;KAPALI;关闭
Cancel;Отмена;Stornieren;Cancelar;Annuler;Cancellare;キャンセル;취소;Cancelar;İptal etmek;取消
Checking;Проверка;Überprüfung;De cheques;Vérification;Controllo;チェック中;확인 중;Verificando;Kontrol ediliyor;检查
Choose IFS channel to swap with;Выберите канал IFS для обмена;Wählen Sie den IFS-Kanal aus, mit dem getauscht werden soll;Elija el canal IFS para intercambiar;Choisissez le canal IFS avec lequel échanger;Scegli il canale IFS con cui scambiare;スワップする IFS チャネルを選択してください;교체할 IFS 채널을 선택하세요.;Escolha o canal IFS para trocar;Değiştirilecek IFS kanalını seçin;选择要交换的 IFS 通道
